c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,class
0.375,0.257,0.234,0.287,0.509,0.807,0.615,0.543,0.345,0.142,0.2,0.275,0.272,0.222,0.196,0.285,0.129,0.035,0.156,1,1,0.738,0.23,0.116,0
0.257,0.237,0.241,0.379,0.316,0.723,0.468,0.331,0.623,0.456,0,0.686,0.867,0.222,0.267,0.065,0.272,0.072,0.265,0.917,0.916,0.409,0.146,0.157,0
0.239,0.219,0.293,0.449,0.367,0.61,0.421,0.305,0.676,0.543,0.067,0.647,0.896,0.333,0.364,0.354,0.361,0.122,0.364,0.754,0.753,0.016,0.074,0.193,1
0.288,0.225,0.204,0.166,0.26,0.75,0.571,0.511,0.311,0.075,0.367,0.039,0.093,0.222,0.24,0.692,0.144,0.047,0.194,0.865,0.866,0.722,0.218,0.118,1
0.33,0.465,0.219,0.183,0.442,0.751,0.341,0.501,0.356,0.101,0.2,0.275,0.243,0.222,0.29,0.176,0.371,0.1,0.304,0.877,0.875,0.754,0.219,0.2,1
0.304,0.429,0.381,0.329,0.257,0.567,0.249,0.455,0.434,0.275,0.2,0.275,0.498,0.333,0.447,0.499,0.595,0.22,0.503,0.79,0.784,0.476,0.136,0.225,1
0.377,0.425,0.212,0.199,0.303,0.757,0.378,0.541,0.334,0.071,0.2,0.216,0.456,0.111,0.276,0.349,0.33,0.084,0.289,0.988,0.985,0.722,0.227,0.15,1
0.304,0.355,0.339,0.257,0.325,0.616,0.046,0.395,0.405,0.282,0.033,0.49,0.664,0.111,0.387,0.276,0.746,0.212,0.498,0.905,0.9,0.28,0.129,0.226,1
0.304,0.479,0.349,0.287,0.33,0.57,0.27,0.362,0.425,0.344,0.033,0.627,0.85,0.444,0.455,0.166,0.548,0.208,0.5,0.89,0.882,0.746,0.236,0.264,1
0.346,0.563,0.388,0.319,0.308,0.434,0.123,0.337,0.496,0.399,0.167,0.412,0.573,0.333,0.595,0.377,0.718,0.358,0.654,0.701,0.692,0.459,0.148,0.322,1
0.288,0.693,0.495,0.516,0.375,0.433,0.117,0.007,0.999,0.933,0.133,0.627,0.613,0.556,0.623,0.036,0.815,0.417,0.701,0.541,0.533,0.549,0.173,0.378,1
0.472,0.615,0.445,0.286,0.454,0.61,0.25,0.387,0.396,0.315,0.4,0.137,0.301,0.333,0.448,0.82,0.649,0.244,0.517,0.373,0.376,0.026,0.026,0.285,1
0.441,0.671,0.231,0.181,0.35,0.692,0.311,0.496,0.278,0.106,0.233,0.255,0.29,0.333,0.386,0.283,0.409,0.143,0.396,0.669,0.668,0.754,0.229,0.253,0
0.264,0.602,0.133,0.081,0.151,0.812,0.653,0.473,0.251,0.047,0.333,0.059,0.208,0.333,0.264,0.839,0.007,0.034,0.144,0.818,0.819,0.738,0.23,0.169,1
